timestamp,cpu_usr,cpu_sys,cpu_iowait,cpu_steal,cpu_idle,network_ifutil,memory_memused,memory_commit,disk_util,paging_vmeff
1.79,11.48,1.07,23.79,0.28,63.1,0,99,74.72,5.6,100
1.8,10.82,0.68,6.28,0.1,82.07,0,98.95,74.72,14.56,100
1.81,13.05,0.9,27.53,0.33,58.07,0,98.84,74.72,26.88,99.8
1.82,11.97,0.62,40.7,0.38,46.18,0,98.87,74.72,0.24,0
1.83,7.34,0.23,2.4,0.05,89.96,0.18,98.8,74.62,0.24,0
1.84,14.16,0.08,0.03,0,85.74,0,98.79,74.62,0.32,0
1.85,7.56,0.15,0.08,0.03,92.19,0,98.92,74.62,0.08,0
1.86,5.37,0.89,23.56,0.25,69.75,0,98.97,74.62,9.68,99.12
1.87,7.95,0.69,26.06,0.23,64.98,0,98.87,74.62,4.56,100
1.88,11.91,0.71,5.18,0.13,82.04,0,98.97,74.62,13.44,99.98
1.89,13.11,0.94,23.91,0.2,61.75,0,98.9,74.56,48.4,100
1.9,12.99,0.67,37.42,0.33,48.51,0,98.96,74.55,0.08,0
1.91,25.11,0.3,5.34,0.1,69.07,0.11,98.98,74.55,0.16,0
1.92,9.95,0.63,6.22,0.08,83.07,0,98.94,74.55,21.44,100
1.93,9.82,0.74,35.75,0.31,53.27,0,98.86,74.55,12.72,100
1.94,12.84,0.79,7.98,0.13,78.14,0,98.92,74.55,5.04,100
1.95,13.68,0.71,18.48,0.33,66.68,0,98.94,74.55,10.8,0
1.96,11.39,0.8,34.09,0.33,53.35,0,99,74.55,2.64,0
1.97,7.09,0.13,0.75,0.03,91.96,0.14,98.92,74.55,0,0
1.98,18.29,0.13,0,0,81.58,0,98.93,74.55,0.4,0
1.99,4.87,0.28,0.75,0.05,94.05,0,99.04,74.55,0.16,0
2,8.07,0.97,38.8,0.33,51.6,0,98.89,74.55,8.64,0
2.01,18.72,1.23,32.72,0.31,46.87,0,98.84,74.5,38.08,100
2.02,10.79,0.87,36.49,0.31,51.41,0,98.86,74.48,0.08,0
2.03,12.48,0.64,38.97,0.33,47.5,0,98.97,74.42,0.72,0
2.04,37.45,0.73,9.65,0.13,51.94,0.12,98.98,74.48,8.88,96.66
2.05,6.5,0.74,35.54,0.36,56.66,0,98.99,74.42,3.2,100
2.06,11.59,0.63,8.26,0.15,79.19,0,98.95,74.5,0,100
2.07,9.39,0.67,36.03,0.31,53.5,0,98.88,74.5,8.08,100
2.08,11.45,0.77,39.67,0.36,47.57,0,98.92,74.5,0,0
2.09,11.55,0.36,14.36,0.15,73.51,0.11,98.89,74.4,0,0
2.1,19.59,0.1,0.03,0.03,80.24,0,98.86,74.45,0,0
2.11,9.48,1.04,9.96,0.15,79.25,0,98.98,74.37,5.84,100
2.12,9.03,0.53,16.23,0.18,73.95,0,98.88,74.37,0.16,0
2.13,18.11,1.13,27.16,0.2,53.3,0,98.86,74.37,5.04,100
2.14,8.82,0.56,37.68,0.31,52.55,0,98.85,74.37,0.88,0
2.15,20.54,0.49,26.95,0.2,51.75,0.11,98.91,74.44,0,0
2.16,27.13,1.8,22.82,0.2,47.84,0,98.97,74.51,5.28,100
2.17,16.08,0.79,13.77,0.18,69.05,0,99.02,74.57,9.44,100
2.18,11.18,0.92,14.46,0.18,73.19,0,98.96,74.65,11.28,100
2.19,11.69,0.54,32.8,0.28,54.63,0,98.92,74.65,7.04,99.5
2.2,14.71,0.59,16.23,0.2,68.19,0.12,98.81,74.59,0.32,0
2.21,2.58,0.1,0.03,0,97.27,0.03,98.77,74.59,0.08,0
2.22,18.3,0.05,0.03,0.03,81.6,0,98.74,74.59,0.32,0
2.23,3.04,0.08,0.28,0,96.59,0,99,74.59,1.28,100
2.24,10.11,1.03,35.92,0.28,52.51,0,98.91,74.59,30.64,99.14
2.25,17.67,0.97,30,0.26,50.93,0,98.89,74.66,2.08,100
2.26,9.12,0.62,41.02,0.33,48.7,6.36,98.88,74.6,0.08,0
2.27,12.24,0.59,28.32,0.15,58.64,6.49,98.87,74.6,0,0
2.28,24.38,0.53,24.69,0.2,50.09,0.01,98.85,74.6,1.52,100
2.29,6.33,0.4,16.98,0.15,76.03,0,98.99,74.6,6.72,100
2.3,11.72,0.64,23.47,0.2,63.95,0,98.96,74.49,8.32,99.92
2.31,12.19,0.69,16.84,0.23,69.98,0,98.9,74.58,3.2,100
2.32,13.39,0.71,24.57,0.23,60.97,0,98.9,74.58,0.72,0
2.33,1.3,0.25,0.03,0,98.39,0.15,98.85,74.58,0.24,0
2.34,0.3,0.05,0,0.03,99.62,0.01,98.81,74.58,0.08,0
2.35,11.42,0.08,0,0,88.48,0.02,98.78,74.58,0,0
2.36,10.29,0.1,0.03,0,89.58,0,98.75,74.58,0.4,0
2.37,7.96,0.89,22.21,0.18,68.71,0.01,98.96,74.64,19.36,100
2.38,12.63,0.79,38.87,0.28,47.35,0,98.92,74.58,0.24,0
2.39,6.99,0.67,44.02,0.33,47.83,0.42,98.82,74.53,0,0
2.4,9.56,0.69,37.59,0.26,51.78,6.99,98.87,74.6,0.64,0
2.41,18.51,0.38,22.01,0.13,58.9,7.67,98.93,74.6,0.08,0
2.42,11.08,0.38,8.16,0.1,80.25,0,98.9,74.6,4.8,100
2.43,5.06,0.87,34.38,0.26,59.23,0,99.01,74.55,20.56,98.4
2.44,11.66,0.63,7.91,0.08,79.7,0,98.9,74.5,2.8,0
2.45,9.75,0.64,35.37,0.33,53.85,0,98.9,74.5,18.56,99.21
2.46,16.79,0.97,20.32,0.23,61.59,0,98.88,74.5,11.04,100
2.47,2.69,0.2,0.25,0.05,96.79,0.12,98.88,74.56,0,0
2.48,14.4,0.1,0,0,85.5,0,98.84,74.56,0.32,0
2.49,12.68,0.61,21.16,0.15,65.38,0.01,98.89,74.47,19.28,96.25
2.5,10.15,0.71,44.39,0.25,44.39,0,98.9,74.47,28.48,100
2.51,12.32,0.92,34.2,0.31,52.09,0,98.97,74.47,0,0
2.52,15.04,1.33,41.19,0.33,41.85,0,98.9,74.17,0.72,0
2.53,27.6,0.56,22.76,0.18,48.8,0.12,98.89,74.18,0.08,0
