timestamp,cpu_usr,cpu_idle,cpu_sys,cpu_iowait,cpu_steal,paging_vmeff,memory_memused,memory_commit,disk_util,network_ifutil
1,98,0,2,0,0,0,29.1,12.17,0,0
1,97.9,0,1.9,0.1,0,0,30.02,12.35,9.2,0
1,90.79,5.91,3,0,0,0,22.68,12.35,0.48,0.15
1,95.5,0.1,3.6,0,0,0,25.11,12.35,2.48,1.33
1,97.1,0.1,2.5,0,0,0,27.46,17.06,0.96,0.52
1,84.75,13.14,1.6,0,0,0,27.81,18.14,3.84,0.59
1,57.33,30.13,1.21,11.02,0.1,0,28.32,19.93,32.24,0.63
1,58.25,40.74,0.8,0,0,0,28.81,19.93,0.08,0.29
1,53.88,45.22,0.81,0,0,0,29.44,19.93,0.08,0.12
1,51.36,47.43,1.11,0,0.1,0,30.39,19.93,0,0.05
1,87.22,8.85,3.62,0,0,0,27.66,19.93,13.28,0.89
1,95.8,0.1,2.9,0,0,0,29.76,19.93,0.56,1.45
1,97,0,2.8,0,0,0,30.77,19.93,5.04,0
1,97.6,0,2.3,0,0,0,31.68,19.93,2.32,0
1,97.8,0,1.8,0,0,0,32.27,19.93,3.04,0
1,97.8,0,2,0,0,0,32.7,19.93,0,0
1,97.6,0.3,1.9,0,0,0,33.27,17.01,19.52,0
1,97.2,0,2.2,0,0,0,33.65,17.85,17.68,0.37
1,97.1,0,2.9,0,0,0,34.21,19.9,11.12,0
1,97.3,0,2.4,0,0,0,34.89,19.9,1.44,0
1,97.3,0,2.5,0.1,0,0,35.43,19.9,27.28,0
1,93.79,2.5,3.5,0,0,0,32.49,19.9,0,0
1,95.2,0.1,4,0,0,0,34.26,19.9,0,1.45
1,96.4,0,3,0,0,0,34.47,19.9,15.04,1.25
1,93.71,2.8,3.4,0,0,0,31.14,19.9,0,0.37
1,97.7,0,1.9,0,0,0,31.71,19.9,0.08,0.74
1,96.6,0,2.6,0,0,0,34.09,19.9,0.16,1.45
1,97.7,0,2.3,0,0,0,35.03,19.9,15.2,0
1,97.9,0,2,0,0,0,35.8,17.29,0.08,0
1,98.1,0,1.6,0,0,0,36.13,19.18,11.12,0
1,98,0,1.9,0,0,0,36.71,19.96,1.28,0
1,98.2,0,1.7,0,0,0,37.27,19.96,28.16,0
1,97.4,0,2.5,0,0,0,37.84,19.96,11.04,0
