timestamp,cpu_usr,cpu_sys,cpu_iowait,cpu_steal,cpu_idle,paging_vmeff,memory_memused,memory_commit,disk_util,network_ifutil
1,0.4,0.2,0.1,0,99.3,0,15.92,12.67,0,0
1,1.71,1.41,13.9,0.1,82.88,0,16.03,13.06,28.64,0
1,2.34,1.63,22.4,0.41,72.4,0,16.84,13.06,50.64,1.11
1,0.5,0.2,0,0,98.79,0,16.98,13.06,0,0.17
1,10.79,1.01,0,0,88.21,0,17.62,17.62,0,0
1,97.7,2.2,0,0,0.1,0,19.58,18.7,0.08,0
1,96.8,2.6,0,0,0.2,0,23.15,20.11,0.08,0
1,98.2,1.7,0,0,0,0,23.14,20.11,0,0
1,99,0.9,0,0,0,0,23.25,20.11,0,0
1,97.6,2.3,0,0,0,0,24.14,20.11,8.48,0
1,98.3,1.3,0,0,0.1,0,24.21,20.11,0,0
1,98.9,1.1,0,0,0,0,24.95,20.11,0.08,0
1,98.7,1.2,0,0,0,0,25.31,20.11,0,0
1,98.5,1.5,0,0,0,0,26.19,20.11,0,0
1,97.6,2.4,0,0,0,0,27.11,20.11,0.08,0
1,97.5,2.4,0,0,0.1,0,28.03,20.11,11.84,0
1,83.63,3.01,0,0,13.35,0,20.55,17.57,0,0
1,97.6,2.3,0,0,0.1,0,22.8,18.46,0.08,0
1,96.4,3.1,0,0,0.3,0,26.33,20.5,0.56,0.15
1,97.7,2.3,0,0,0,0,26.33,20.5,0.08,0
1,99,1,0,0,0,0,26.42,20.5,38.48,0
1,89.59,1.7,7.21,0.1,1.3,0,27.33,20.5,19.84,0
1,98.3,1.6,0,0,0,0,27.33,20.5,0,0
1,99.3,0.7,0,0,0,0,27.97,20.5,0.08,0
1,98.4,1.3,0,0,0.1,0,28.34,20.5,0,0
1,98.9,1,0,0,0.1,0,29.16,20.5,0,0
1,98.2,1.8,0,0,0,0,30.08,20.5,0,0
1,97.8,2.2,0,0,0,0,30.98,20.5,12.88,0
1,78.06,2.61,0,0,19.34,0,22.71,12.88,0.24,0.07
1,40.52,2.41,0,0,56.77,0,24.21,17.69,1.84,1
1,95.29,3.61,0,0,0,0,26.39,19.77,0.96,1.33
1,95.8,3.2,0,0,0.1,0,28.98,20.84,0.96,1.33
1,41.31,1.31,3.32,0.1,53.97,0,30.03,20.84,32.16,0
1,2.42,0.3,0,0,97.17,0,30.03,20.84,0,0.34
1,1.01,0.2,0,0,98.79,0,30.03,20.84,0,0
1,1.71,0.2,0,0.1,97.99,0,30.05,20.84,0,0.09
1,83.75,2.42,0,0,13.72,0,31.04,20.84,0.08,0.3
1,96.7,2.3,0.1,0,0.2,0,31.08,20.84,42.16,0.59
1,98.1,1.7,0,0,0,0,31.57,20.84,0,0
1,98.1,1.7,0,0,0,0,32.14,20.84,0,0
1.5,97.3,2.5,0,0,0,0,32.71,20.84,0,0
1.5,97.7,2.1,0,0,0,0,33.19,20.84,0.08,0
1.5,97.5,2.4,0,0,0,0,33.74,20.84,2.32,0
1.5,97.5,2,0,0,0.1,0,34.1,20.84,20.8,0.3
1.5,96.7,3,0,0,0,0,34.69,20.84,55.36,0
1.5,97.9,1.6,0,0,0.1,0,35.26,20.84,0.08,0
1.5,97.31,2.2,0,0,0.1,0,35.86,20.84,0,0
1.5,85.84,3.82,0,0.1,10.24,0,29.05,17.41,0.08,0
1.5,95,4.1,0,0,0,0,31.96,19.87,0.08,1.63
1.5,95.4,3.6,0.1,0,0.1,0,33.91,20.86,49.52,1.42
1.5,97.5,2.4,0,0,0,0,35.3,20.86,0.64,0.3
1.5,97.6,2.1,0,0,0.1,0,35.8,21.06,0,0.59
1.5,97.1,2.5,0,0,0,0,35.83,20.84,0,0.3
1.5,97.3,2.3,0,0,0,0,36.37,20.84,0.16,0
1.5,97.2,2.5,0,0,0,0,36.97,20.84,0.08,0
1.5,97.4,2.4,0,0,0,0,37.53,20.84,4.16,0
1.5,97.39,2.1,0,0,0.3,0,38.11,20.84,42.56,0
1.5,97.1,2.7,0,0,0,0,38.71,20.84,68.72,0
1.5,96.8,2.9,0,0,0.1,0,39.28,20.84,25.76,0
1.5,97.3,2.3,0,0,0,0,39.67,20.84,0,0.3
1.5,97.6,1.9,0,0,0,0,40.25,20.84,0,0
1.5,97.6,2,0,0,0,0,39.78,20.84,0,0
1.5,9.97,1.01,0.2,0,88.82,0,31.39,12.69,0.64,0.3
1.5,0,0,0,0,100,0,31.39,12.69,0,0
1.5,0.1,0.3,21.85,0.2,77.54,0,31.4,12.69,50.24,0
1.5,0.1,0,0,0,99.9,0,31.39,12.69,0.08,0
1.5,0.1,0,0,0,99.9,0,31.39,12.69,0,0
1.5,0,0.1,0,0,99.9,0,31.4,12.69,0,0
1.5,0.2,0.3,0,0,99.5,0,29.06,12.69,0.08,0
1.5,0,0.1,0.1,0,99.8,0,29.06,12.69,0,0
1.5,92.37,3.61,0,0,4.02,0,31.66,18.36,0.08,0
1.5,96.4,3.3,0,0,0.2,0,35.25,19.97,0,0
1.5,97.4,2.2,0,0,0,0,35.23,19.97,0,0
1.5,98.6,1.4,0,0,0,0,35.99,19.97,0,0
1.5,97.1,2.5,0,0,0.1,0,36.61,19.97,0,0
1.5,99.4,0.6,0,0,0,0,36.8,19.97,0,0
2,97.5,2.5,0,0,0,0,38.53,19.97,0.08,0
2,96.6,3.4,0,0,0,0,40.18,19.97,0,0
2,79.78,3.6,0,0,16.62,0,32.3,12.72,0,0
2,95.69,2.4,0,0,1.9,0,34.94,18.2,3.92,0
2,95.9,3.6,0,0,0.2,0,38.38,20.28,29.28,0.34
2,97.7,2.1,0,0,0,0,38.31,20.28,17.68,0
2,98.7,1.3,0,0,0,0,39.07,20.28,0,0
2,97.4,2.1,0,0,0,0,39.63,20.28,0,0
2,99.4,0.6,0,0,0,0,39.68,20.28,0,0
2,97.1,2.9,0,0,0,0,41.38,20.28,0,0
2,96.4,3.6,0,0,0,0,42.93,20.28,0,0
2,91.71,4.3,0,0.1,3.8,0,35.29,15.04,4.96,0.34
2,94.7,3.4,0,0,1.7,0,37.36,18.31,63.2,0.34
2,96.8,2.9,0,0,0.2,0,41.29,19.99,1.84,0
2,97,2.6,0,0,0,0,41.57,19.99,1.68,0.02
2,97.7,2.2,0,0,0,0,42.11,19.99,0.08,0.32
2,98.6,1.3,0,0,0,0,42.22,19.99,0.08,0.34
2,96.1,3.9,0,0,0,0,43.95,19.99,0,0
2,84.07,4.61,0.1,0,10.72,0,37.3,17.17,2,0.62
2,97.9,2,0,0,0.1,0,39.5,18.19,0.08,0
2,97.2,2.2,0,0,0.1,0,43.05,19.82,0.08,0
2,98.4,1.4,0,0,0,0,42.99,19.82,0.08,0
2,97.8,2.2,0,0,0,0,44.06,19.82,0.08,0
2,98.5,1.3,0,0,0,0,44.19,19.82,23.68,0
2,94.7,4,1.3,0,0,0,45.98,19.82,8.88,0
2,79.86,3.71,0,0.1,16.13,0,38.76,12.58,0.96,0.36
2,0.2,0.1,0,0,99.7,0,38.71,12.58,1.04,0.26
2,0.1,0.1,0,0,99.8,0,38.64,12.58,0,0
2,36.28,1.51,0,0,62.11,0,39.87,15.23,0,0
2,76.11,2.12,0,0.1,21.37,0,42.51,18.77,0,0.98
2,98.3,1.5,0,0,0.1,0,43.5,19.3,0,0.2
2,96.7,2.6,0,0,0,0,45.43,19.98,32.48,1.25
2,98.3,1.4,0,0,0,0,45.63,19.98,0,0.34
2,97,2.9,0,0,0,0,47.14,19.98,0,0.29
2,75.98,2.81,0,0,21.01,0,43.73,16.02,1.28,0.31
2,63.22,3.42,0.1,0.1,32.96,0,42.09,17.2,1.2,0.31
2,97.8,2.1,0,0,0,0,44.91,19,0,0.03
2,96.2,2.3,0,0,0.1,0,46.53,19.81,0,1.86
2,98.5,1.3,0,0,0,0,46.49,19.81,0,0.47
2,94.29,2.5,2.8,0,0,0,47.73,19.81,6.4,0.5
2,98.5,1.2,0,0,0,0,48.27,19.81,0.16,0.32
2,96.6,3.4,0,0,0,0,50.02,19.81,6.24,0
2,89.03,5.13,0,0,5.43,0,43.83,17.56,4.64,1.09
2,94.91,3.9,0,0,0.1,0,46.17,19.27,0.4,1.68
2,92.99,5.41,0,0,0.1,0,49.71,20.47,1.36,2.86
2,71.14,3.81,0,0,24.75,0,51.81,20.47,0.4,0.99
2,97.8,2.1,0,0,0,0,52.68,20.25,0,0
2,98.2,1.6,0,0,0,0,52.64,20.44,18.4,0.26
2,98.6,1.1,0,0,0,0,52.25,20.44,0,0.58
2,98.1,1.7,0,0,0,0,51.85,20.15,0,0.47
2,90.6,2.5,2.7,0.1,3.7,0,46.31,20.15,44.16,0.37
2,92.38,2.41,0,0,5.12,0,42.48,18.01,0,0
2,91.7,6.2,0,0,0.1,0,44.86,20.37,0.08,3.33
2,91.81,5.39,0,0,0.1,0,45.71,20.37,0.64,3.31
2,95.7,4,0,0,0,0,47.76,20.37,0.08,0.57
2,98.2,1.5,0,0,0,0,47.64,20.57,0,0.63
2,98.4,1.1,0,0,0,0,47.16,20.57,0.08,0.49
2,98.6,1.4,0,0,0,0,47.15,20.57,0.08,0
2,97.4,2.4,0,0,0,0,46.99,20.57,5.12,0.23
2,47.49,1.91,0,0.1,50.4,0,34.39,12.34,38.32,0.61
2,0.2,0.1,0.3,0,99.29,0,34.38,12.34,1.2,0.47
2,0.2,0.2,0.2,0,99.4,0,34.32,12.34,0.56,0.37
2,0.1,0,0,0,99.9,0,34.25,12.34,0.56,0
2,0.4,1.11,0,0,98.49,0,25.87,12.34,0.08,0
2,0.3,0.7,0,0,98.99,0,18.55,14.14,0,0
2,32,1.5,0.1,0.1,66.3,0,20.14,18.79,0,0
2,97,2.7,0,0,0.3,0,23.19,20.56,0.08,0
2,98.3,1.5,0,0,0,0,24.51,21.35,0.08,0
2,98,1.8,0,0,0,0,24.45,21.35,0,0
2,98.8,1.2,0,0,0,0,24.96,21.35,0,0
2,98,1.7,0,0,0,0,25.31,21.35,0,0
2,99.2,0.8,0,0,0,0,25.25,21.35,0,0
2,98.5,1.5,0,0,0,0,26.16,21.35,0.08,0
2,99.1,0.9,0,0,0,0,26.13,21.35,0,0
2,98,2,0,0,0,0,27.2,21.35,0,0
2,98,1.9,0,0,0,0,28.07,21.35,0,0
2,98,2,0,0,0,0,28.94,21.35,9.12,0
2,76.2,3.21,0,0,20.58,0,22.17,18.71,0,0
2,97.1,2.7,0,0,0.2,0,26.44,21.29,0,0
2,98.5,1.2,0,0,0,0,26.53,21.29,0.48,0.15
2,97.9,2,0,0,0,0,26.53,21.29,55.04,0
2,98.6,1.4,0,0,0,0,27.04,21.29,0,0
2,97.9,1.8,0,0,0,0,27.38,21.29,0,0
