timestamp,cpu_usr,cpu_idle,cpu_sys,cpu_iowait,cpu_steal,paging_vmeff,memory_memused,memory_commit,disk_util,network_ifutil
1,0.4,99.4,0.2,0,0,0,16.64,12.78,0,0
1,6.07,65.18,1.52,27.02,0.2,0,16.12,13.08,62,0
1,0,99.9,0,0.1,0,0,16.22,13.08,5.68,0
1,54.29,42.99,2.22,0.3,0.1,0,18.36,17.11,1.28,0.01
1,55.35,41.62,2.42,0.51,0,0,20.36,22.71,1.68,0
1,79.54,17.74,2.32,0,0.2,0,23.1,24.28,0.08,0
1,66.3,32.3,0.8,0.1,0,0,23.14,24.28,0.08,0
1,60.22,38.36,1.11,0,0.2,0,23.62,24.28,0,0
1,57.95,41.05,1.01,0,0,0,24.16,24.28,0.16,0
1,54.74,44.25,0.91,0,0,0,24.76,24.28,0,0
1,49.25,40,1.71,8.94,0.1,0,25.7,24.28,17.36,0
1,56.62,30.43,2.12,10.62,0.1,0,22.65,23.08,21.44,0
1,67.37,31.11,1.21,0,0.1,0,24.43,24.36,0,0
1,65.42,33.97,0.5,0,0.1,0,25.01,24.36,0,0
1,62.59,36.2,1.01,0.1,0,0,25.02,24.36,0,0
1,54.33,44.66,0.81,0,0.1,0,25.51,24.36,0,0
1,58.49,39.7,1.61,0,0.1,0,26.54,24.36,0,0
1,46.42,51.16,2.32,0,0,0,23.24,22.65,0.08,0
1,58.47,39.21,2.02,0,0.1,0,25.14,24.3,0.32,0.74
1,1.11,98.79,0.1,0,0,0,25.14,24.3,0,0
1,1.41,98.39,0.2,0,0,0,25.14,24.3,0.08,0
1,1.31,98.39,0.1,0.1,0.1,0,25.14,24.3,0.08,0
1,1.62,92.32,0.4,5.66,0,0,25.14,24.3,17.6,0
1,1,98.69,0.2,0,0.1,0,25.14,24.3,0,0
1,1.61,98.18,0.2,0,0,0,25.14,24.3,0,0
1,0.81,98.79,0.3,0.1,0,0,25.14,24.3,0.08,0
1,0.81,99.09,0.1,0,0,0,25.14,24.3,0,0
1,1.21,98.39,0.3,0,0.1,0,25.14,24.3,0.08,0
1,15.5,83.28,0.81,0,0.1,0,25.32,24.3,0.08,0.67
1,29.69,69.1,1.11,0.1,0,0,26.24,24.3,0,0.53
1,2.45,96.42,0.51,0,0.31,0,26.09,24.3,0,1.08
1,2.37,96.49,0.52,0,0.21,0,25.91,24.3,0,1.25
1,2.15,96.21,0.62,0,0.1,0,25.91,24.3,0,1.36
1,2.24,97.04,0.41,0,0.1,0,25.91,24.3,0,0.67
1,1.71,97.88,0.2,0.1,0.1,0,25.99,24.3,0.08,0.12
1,2.62,88.4,0.2,8.58,0.1,0,26.04,24.3,11.04,0.05
1,62.88,35.29,1.62,0,0.1,0,26.83,24.5,0.08,0.15
1,60.91,36.85,1.73,0,0.2,0,27.32,24.5,0,0.3
1,56.57,41.21,2.02,0,0.1,0,27.83,24.5,0,0
1,56.7,40.89,1.91,0,0.2,0,28.38,24.5,0,0
1.5,57.3,40.06,2.13,0,0.3,0,28.91,24.5,0,0
1.5,54.54,42.71,2.14,0.1,0.1,0,29.47,24.5,0.08,0
1.5,51.47,45.69,2.53,0,0.2,0,26.03,22.62,1.28,0
1.5,73.76,20.57,3.34,1.93,0.1,0,28.65,24.18,28.16,1.67
1.5,59.56,38.63,1.71,0,0.1,0,29.73,24.18,0,0
1.5,67.74,29.94,2.12,0,0.1,0,30.24,24.18,0,0
1.5,56.26,38.91,2.05,2.46,0.21,0,30.77,24.18,21.36,0
1.5,59.86,37.93,1.71,0.1,0.2,0,31.4,24.18,0.08,0
1.5,57.19,40.06,2.14,0,0.2,0,31.45,24.18,0,0.75
1.5,55.76,40,2.22,1.41,0.3,0,31.79,24.18,11.04,0.3
1.5,56.66,40.49,2.24,0.1,0.2,0,30.87,24.18,1.2,0.15
1.5,80.93,9.49,3.73,4.94,0.1,0,30.83,24.15,17.28,1.67
1.5,52.62,42.94,1.71,2.62,0,0,31.89,24.15,10.88,0.15
1.5,76.44,20.04,3.02,0.1,0.1,0,32.59,24.36,0.16,0
1.5,55.15,42.41,1.94,0,0.2,0,33.08,24.36,0,0
1.5,55.97,37.96,2.33,3.34,0.2,0,33.62,24.36,15.2,0
1.5,55.27,41.99,2.23,0,0.2,0,34.14,24.36,0,0
1.5,55.36,42.31,1.92,0,0.3,0,34.41,24.36,0,0
1.5,52.27,42.68,2.52,2.12,0.2,0,30.28,20.13,12.16,0
1.5,77.28,18.56,3.96,0,0.1,0,33.5,24.32,0.08,1.67
1.5,52.22,35.99,1.81,9.78,0.1,0,34.72,24.32,28.08,0
1.5,76.36,21.82,1.52,0.1,0.1,0,35.32,24.12,0.08,0
1.5,56.17,41.5,1.92,0,0.2,0,35.74,24.12,0.32,0.15
1.5,54.63,33.47,1.83,9.56,0.2,0,36.31,24.12,23.12,0
1.5,54.43,42.81,2.45,0,0.2,0,36.93,24.12,0.08,0
1.5,54.87,42.9,1.62,0,0.2,0,37.44,24.12,0.08,0
1.5,54.75,40.86,2.25,1.74,0.31,0,36.93,24.12,11.04,0
1.5,6.71,81.2,1.22,10.67,0.2,0,33.54,19.72,28.08,0
1.5,0.4,99.2,0.4,0,0,0,28.53,12.79,0,0
1.5,0,99.9,0.1,0,0,0,28.53,12.79,0.08,0
1.5,93.39,3.21,3.41,0,0,0,31.09,18.32,15.12,0
1.5,96.5,0.3,2.8,0,0,0,34.68,19.94,0,0
1.5,97.7,0,2,0,0,0,34.62,19.94,0.08,0
1.5,98.5,0,1.5,0,0,0,35.41,19.94,0,0
1.5,96.3,0,3,0,0,0,35.98,19.94,0,0
1.5,99.2,0,0.8,0,0,0,36.18,19.94,0,0
2,97.3,0,2.7,0,0,0,37.92,19.94,3.36,0
2,97.1,0,2.9,0,0,0,39.54,19.94,7.44,0
2,86.01,2.9,4.2,6.79,0.1,0,37.85,19.94,89.52,0
2,94.49,2.2,3.31,0,0,0,34.35,18.4,0.08,0
2,97.19,0.1,2.4,0,0,0,37.78,19.84,0.72,0.37
2,97.7,0,2.1,0,0,0,37.71,19.84,0,0
2,98.7,0,1.3,0,0,0,38.36,19.84,0,0
2,97.4,0.1,2.2,0,0,0,38.96,19.84,16.72,0
2,99.4,0,0.6,0,0,0,39.02,19.84,4.72,0
2,97.5,0,2.5,0,0,0,40.67,19.84,0.08,0
2,96.9,0,3,0.1,0,0,42.19,19.84,0,0
2,90.27,5.32,4.21,0,0,0,34.72,15.04,0.8,0.25
2,94.99,1.7,2.91,0,0,0,36.88,18.21,0.88,0.42
2,96.9,0.1,2.5,0,0,0,41.03,19.62,4.08,0
2,97.9,0,2.1,0,0,0,41.02,19.62,0.08,0
2,97.8,0,1.9,0,0,0,41.73,19.62,1.6,0.34
2,97.49,0,1.9,0.4,0,0,42,19.62,54.64,0.34
2,96.9,0,3.1,0,0,0,43.59,19.82,0,0
2,91.71,3.6,4.5,0,0,0,41.47,18.69,1.28,0.31
2,95.6,0.5,3.5,0,0,0,39.53,18.56,1.12,0.33
2,97.1,0,2.4,0,0,0,42.69,20.01,0,0
2,98.1,0,1.8,0,0,0,42.56,20.01,0,0
2,98.2,0,1.7,0,0,0,43.43,20.01,0,0
2,98.6,0,1.4,0,0,0,44.08,20.01,6.24,0
2,96.4,0,3.6,0,0,0,45.66,20.01,5.84,0
2,65.59,30.78,3.32,0,0.1,0,38.17,12.64,2.16,0.62
2,19.64,79.36,1.01,0,0,0,39.07,14.92,0,0
2,93.9,3.1,2.5,0.1,0,0,42.31,18.99,0.08,0.35
2,97.5,0.1,1.8,0,0,0,44.33,19.59,0,1
2,98.1,0,1.1,0,0,0,44.27,19.59,0,1.02
2,97.9,0,1.8,0,0,0,44.96,19.59,32.4,0.42
2,97.9,0.1,1.9,0,0,0,46.03,19.59,0,0.41
2,97,0,3,0,0,0,47.57,19.59,0,0
2,38.24,58.93,2.62,0,0.1,0,39.97,12.55,2.08,0.62
2,17.99,81.31,0.7,0,0,0,40.8,14.82,0,0
2,94.6,2.7,2.6,0,0,0,44.11,18.94,0,0.05
