timestamp,cpu_usr,cpu_idle,cpu_sys,cpu_iowait,cpu_steal,paging_vmeff,memory_memused,memory_commit,disk_util,network_ifutil
1,0.8,98.79,0.4,0,0,0,15.82,12.82,0,0
1,4.62,93.37,1.81,0.1,0.1,0,15.94,13.21,0.24,0
1,0.1,89.95,0.1,9.75,0.1,0,15.94,13.21,25.36,0
1,0.1,99.9,0,0,0,0,15.94,13.21,0,0.01
1,12.27,78.77,1.31,7.55,0.1,0,16.74,17.76,20.88,0.01
1,97.2,0.2,2.6,0,0,0,19.04,18.62,0,0
1,97.69,0,2.21,0,0,0,22.29,20.63,0,0
1,98.1,0,1.8,0,0,0,22.29,20.63,0,0
1,99.3,0,0.7,0,0,0,22.53,20.63,0.08,0
1,98.3,0,1.5,0,0,0,23.28,20.63,0,0
1,98.7,0,1.2,0,0,0,23.3,20.63,0.32,0
1,98.8,0,1.2,0,0,0,24.21,20.63,0.16,0
1,98.8,0.1,1,0,0,0,24.32,20.63,0.16,0
1,98.4,0,1.6,0,0,0,25.36,20.63,0.08,0
1,98,0,2,0,0,0,26.28,20.63,0,0
1,97.5,0,2.5,0,0,0,27.19,20.63,17.92,0
1,78.03,19.06,2.91,0,0,0,19.65,17.6,0,0
1,97.5,0.1,2.4,0,0,0,21.7,18.52,0.08,0
1,97.5,0.1,2.2,0,0,0,25.06,20.14,0.56,0.15
1,98.6,0,1.3,0,0,0,25.06,20.14,0.08,0
1,98.7,0,1.3,0,0,0,25.25,20.14,45.28,0
1,91.7,0.2,1.7,6.3,0,0,26.04,20.14,9.84,0
1,98.7,0,1.2,0,0,0,26.05,20.14,0,0
1,98.7,0,1.3,0,0,0,26.87,20.14,0.08,0
1,99.2,0,0.8,0,0,0,27.06,20.14,0.08,0
1,98.6,0,1.4,0,0,0,28,20.14,0,0
1,98.3,0,1.7,0,0,0,28.92,20.14,0,0
1,97.4,0.1,2.5,0,0,0,29.84,20.14,9.2,0
1,83.94,12.05,3.82,0.1,0,0,22.82,17.4,0.56,0.15
1,95.7,0,3.7,0,0,0,25.4,19.84,1.92,1.33
1,96.4,0.1,2.5,0,0,0,27.68,20.55,1.6,0.52
1,80.16,18.24,1.2,0,0,0,27.79,20.55,1.2,0.59
1,62.34,24.47,1.11,11.58,0.1,0,28.44,20.55,33.44,0.75
1,52.77,46.32,0.91,0,0,0,28.92,20.55,0,0.36
1,54.52,44.38,1,0,0.1,0,29.69,20.55,0.08,0
1,48.19,49.9,1.81,0,0,0,29.29,20.55,0.96,0.15
1,82.8,13.48,3.32,0,0.1,0,27.91,19.61,17.6,0.74
1,96.1,0.1,3.2,0,0,0,29.83,21,0.72,1.45
1,97.3,0.1,2.6,0,0,0,30.88,21,0,0
1,97.5,0,2.4,0,0,0,31.85,21.21,0,0
1.5,97.6,0.2,2,0,0,0,32.23,21.21,0,0
1.5,97.5,0,2.3,0,0,0,32.69,21.21,5.28,0
1.5,97.5,0,2.2,0,0,0,33.26,21.21,4.16,0
1.5,97.2,0,2.6,0,0,0,33.6,21.21,47.04,0.37
1.5,97.6,0,2.2,0,0,0,34.2,21.21,12.24,0
1.5,97.2,0,2.8,0,0,0,34.77,21.21,8.32,0
1.5,97.9,0,1.9,0,0,0,35.46,21.21,28.16,0
1.5,95.6,1.1,3,0,0,0,32.71,19.16,0,0
1.5,95.69,0.1,3.11,0,0,0,33.98,20.88,0.08,1.44
1.5,96.2,0,3,0,0,0,34.65,20.88,15.04,1.04
1.5,95.6,0.6,3.6,0,0,0,31.79,19.61,0,0.37
1.5,96.2,0,3,0,0,0,33.95,20.89,0.08,1.45
1.5,97.3,0,2.4,0.1,0,0,34.76,20.89,16.88,0.37
1.5,97.3,0.1,2.4,0,0,0,35.66,20.67,0,0
1.5,97.8,0,2,0,0,0,36.08,20.67,0.08,0
1.5,97.7,0,2.1,0,0,0,36.64,20.67,11.02,0
1.5,97.5,0,2.2,0,0,0,37.2,20.67,1.84,0
1.5,97.4,0,2.4,0,0,0,37.76,20.67,34.24,0
1.5,98,0,1.8,0,0,0,38.35,20.67,24.88,0
1.5,97.6,0,1.9,0,0,0,38.7,20.67,10,0.37
1.5,97.6,0,2.2,0,0,0,39.27,20.67,28.24,0
1.5,92.08,5.11,2.81,0,0,0,35.05,16.67,0.08,0
1.5,54.92,42.74,1.62,0.3,0.2,0,34.46,16.67,1.28,0.37
1.5,7.72,91.68,0.5,0,0.1,0,31.03,12.81,0,0
1.5,0.1,89.15,0.1,10.65,0,0,31.03,12.81,26.56,0
1.5,0,99.8,0.2,0,0,0,31.03,12.81,0,0
1.5,0.1,95.18,0,4.62,0.1,0,31.03,12.81,15.12,0
1.5,0,100,0,0,0,0,31.03,12.81,0.08,0
1.5,0.3,99.2,0.4,0.1,0,0,27.89,12.81,0.16,0
1.5,0.2,99.8,0,0,0,0,27.89,12.81,0.08,0
1.5,95.1,0.9,3.8,0,0.1,0,30.54,18.42,0.08,0
1.5,97,0.1,2.7,0,0,0,34.15,19.98,0,0
1.5,98,0,1.9,0,0,0,34.14,19.98,0,0
1.5,98.2,0,1.8,0,0,0,35.37,19.98,0.08,0
1.5,97.5,0,2.1,0,0,0,35.49,19.98,10.24,0
1.5,98.8,0,1.2,0,0,0,36.29,19.98,1.68,0
2,97.4,0.1,2.5,0,0,0,37.72,19.98,0,0
2,96.6,0,3.4,0,0,0,39.38,19.98,0,0
2,91.37,3.92,4.72,0,0,0,32.63,17.85,0.08,0
2,97.5,0.1,2.4,0,0,0,35.45,19.18,0,0
2,97.1,0,2.3,0,0,0,37.22,20.32,1.44,0.34
2,98.5,0,1.3,0,0,0,37.16,20.32,0,0
2,96.9,0,3,0,0,0,38.42,20.32,3.12,0
2,98.4,0,1.5,0,0,0,38.36,20.32,60.64,0
2,98.2,0,1.8,0,0,0,39.77,20.32,0,0
2,96.8,0,3.2,0,0,0,41.16,20.32,0.08,0
2,96.8,0.1,3.1,0,0,0,41.3,20.32,0,0
2,91.29,4.5,4,0.1,0,0,35.95,17.79,1.92,0.34
2,97,0.1,2.6,0,0,0,39.73,19.92,6.16,0.37
2,97.7,0,2,0,0,0,39.68,19.92,0,0
2,98.1,0,1.7,0,0,0,40.25,19.92,0.08,0.14
2,97.4,0.1,2.4,0,0,0,40.98,19.92,48,0.2
2,96.6,0,3.1,0,0,0,42.25,19.92,9.84,0.34
2,91.39,4.4,4,0,0,0,40.12,18.6,1.2,0.31
2,95.19,0.2,4.41,0,0,0,39.52,19.1,4.24,0.31
2,97.3,0.1,2.3,0,0,0,42.07,19.93,4.48,0
2,98.4,0,1.6,0,0,0,42.14,19.93,0.72,0
2,97.6,0,2.4,0,0,0,43.44,19.93,1.04,0
2,98.2,0,1.7,0,0,0,44.04,19.93,0,0
2,96.2,0,3.8,0,0,0,45.71,19.93,32.56,0
2,48.69,48.19,2.92,0.1,0.1,0,38.19,12.65,6.56,0.64
2,39.68,58.92,1.3,0,0,0,39.72,17.65,0.08,0
2,97.4,0.1,2.3,0,0,0,42.62,19.34,0.08,0.45
2,96.8,0.1,1.9,0,0,0,44.39,20.16,0,1.44
2,98.2,0,1.6,0,0,0,44.7,20.16,0,0.48
2,97,0,2.3,0,0,0,45.53,20.16,5.84,0.95
2,98.9,0,0.8,0,0,0,45.71,20.16,6.24,0.91
2,97.4,0,2.5,0,0,0,46.93,20.16,0,0.08
2,97,0,2.9,0,0,0,48.32,20.16,0,0.08
2,85.2,10.27,4.43,0.1,0,0,45.27,18.53,5.44,0.42
2,87.37,8.92,3.21,0,0.1,0,43.77,16.23,2.72,0.42
2,90.45,6.93,2.01,0,0,0,44.98,18.97,0,1.08
2,97.5,0.1,2.2,0,0,0,47.17,20.16,0,0.48
2,97.4,0,1.8,0,0,0,47.51,20.16,0,1.12
2,97.8,0,2.2,0,0,0,48.7,20.16,18.88,0
2,94.88,1.2,3.51,0,0,0,45.59,18.83,16.56,0.41
2,96.5,0.1,3,0,0,0,47.57,19.33,0.64,0.16
2,92.18,3.61,3.51,0,0,0,45.75,18.3,0.72,0.86
2,98.1,0.1,1.4,0,0,0,46.55,18.85,0.48,0.59
