,0
0,0.010000000000005116
1,0.20000000000001705
2,0.10000000000000853
3,0.20000000000000284
4,1.4210854715202004e-14
5,1.4210854715202004e-14
6,0.30000000000001137
7,1.4210854715202004e-14
8,0.20000000000001705
9,0.10000000000000853
10,1.4210854715202004e-14
11,1.4210854715202004e-14
12,0.20000000000000284
13,0.10000000000000853
14,0.10000000000000853
15,1.4210854715202004e-14
16,2.8100000000000023
17,1.519999999999996
18,0.6700000000000017
19,38.19999999999999
20,25.099999999999994
21,0.0
22,0.20000000000000284
23,0.40999999999996817
24,0.4099999999999966
25,0.6499999999999915
26,1.6500000000000057
27,0.3400000000000034
28,7.880000000000024
29,2.3899999999999864
30,0.6299999999999955
31,0.539999999999992
32,0.8400000000000034
33,0.9800000000000182
34,0.7700000000000102
35,2.180000000000007
36,1.3000000000000114
37,0.839999999999975
38,1.210000000000008
39,0.700000000000017
40,1.0699999999999932
41,0.6700000000000159
42,0.6700000000000159
43,2.2399999999999807
44,1.3199999999999932
45,0.2799999999999727
46,1.7300000000000182
47,0.4399999999999977
48,1.2900000000000205
49,0.3400000000000034
50,1.170000000000016
51,0.4000000000000341
52,0.4700000000000273
53,0.13999999999998636
54,1.4800000000000182
55,0.29000000000002046
56,0.06999999999999318
57,0.22000000000002728
58,0.8500000000000227
59,0.660000000000025
60,0.4300000000000068
61,0.7799999999999727
62,0.04999999999998295
63,2.842170943040401e-14
64,0.45000000000001705
65,1.4600000000000364
66,0.5699999999999648
67,0.8700000000000045
68,0.28000000000000114
69,0.060000000000002274
70,0.47999999999998977
71,0.549999999999983
72,0.4199999999999875
73,0.47999999999998977
74,0.6000000000000227
75,0.5600000000000023
76,1.1400000000000148
77,0.5600000000000023
78,0.19999999999998863
79,0.08999999999994657
80,0.6400000000000148
81,0.5799999999999841
82,0.020000000000010232
83,0.3499999999999943
84,0.020000000000010232
85,0.75
86,0.3499999999999943
87,0.5299999999999727
88,1.0599999999999739
89,0.7900000000000205
90,0.6000000000000227
91,0.5500000000000114
92,0.4299999999999784
93,0.1699999999999875
94,14.039999999999992
95,1.039999999999992
96,0.4700000000000273
97,40.22999999999999
98,34.900000000000006
99,8.199999999999989
100,9.159999999999997
101,11.72999999999999
102,10.749999999999972
103,9.179999999999978
104,2.6499999999999773
105,2.0600000000000023
106,1.0200000000000102
107,0.6999999999999886
108,1.3099999999999739
109,1.4199999999999875
110,1.0200000000000102
111,0.8900000000000148
112,1.0
113,0.6800000000000068
114,1.420000000000016
115,1.1999999999999886
116,1.009999999999991
117,1.1299999999999955
118,0.05000000000001137
119,2.20000000000001
120,3.9000000000000057
