label,timestamp,cpu_usr,memory_memused,memory_commit
2,3.86,97.6,98.18,50.6
2,3.91,97.2,98.47,50.6
2,3.96,96.6,98.25,50.6
2,4.01,97.4,98.25,50.6
2,4.06,97,98.32,50.6
2,4.11,96.39,98.31,50.6
2,4.16,96.2,98.25,50.6
2,4.21,97.11,98.43,50.6
2,4.26,96.8,98.4,50.6
2,4.31,97.1,98.52,50.6
2,4.36,96.69,98.21,50.6
2,4.41,97.2,98.37,50.6
2,4.46,96.9,98.41,50.6
2,4.51,96.9,98.11,50.6
2,4.56,96.59,98.55,50.6
2,4.61,97.6,98.38,50.6
2,4.66,96.6,98.45,50.6
2,4.71,97.1,98.37,50.8
2,4.76,96.7,98.46,50.6
2,4.81,97.5,98.48,50.6
2,4.86,96.4,98.3,50.6
2,4.91,96.7,98.21,50.6
2,4.96,96.9,98.3,50.6
2,5.01,97.3,98.55,50.6
2,5.06,97.1,98.3,50.6
2,5.11,96.6,98.3,50.6
2,5.16,96.7,98.28,50.6
2,5.21,97.2,98.25,50.6
2,5.26,97.7,98.37,50.6
2,5.31,97.3,98.35,50.6
2,5.36,97,98.3,50.6
2,5.41,97.7,98.5,50.6
2,5.46,96.8,98.42,50.6
2,5.51,97,98.22,50.6
2,5.56,97.2,98.14,50.6
2,5.61,97.3,98.32,50.6
2,5.66,96.9,98.28,50.6
2,5.71,96.4,98.34,50.6
2,5.76,95.5,98.23,50.6
2,5.81,75.23,98.53,50.6
2,5.86,0.5,98.53,50.6
2,5.91,27.78,98.09,50.6
2,5.96,22.11,98.03,50.39
2,6.01,24.72,97.89,50.39
2,6.06,24.14,97.81,50.39
2,6.11,25.23,97.75,50.39
2,6.16,23.44,97.76,50.19
2,6.21,34.34,98.32,50.82
2,6.26,91.9,98.28,59.63
2,6.31,29.13,98.18,60.88
2,6.36,2.73,98.39,60.88
2,6.41,1,98.38,60.88
2,6.46,1.11,98.39,60.88
2,6.51,0.7,98.35,60.88
2,6.56,0.8,98.35,60.88
2,6.61,0.5,98.36,60.88
2,6.66,1.61,98.35,60.88
2,6.71,0.4,98.36,60.88
2,6.76,0.5,98.34,60.88
2,6.81,0.4,98.35,60.88
2,6.86,0.5,98.33,60.88
2,6.91,0.5,98.21,60.88
2,6.96,2.4,51.52,11.83
2,7.01,3.02,51.8,11.73
3,1.01,0.3,92.29,13.8
3,1.06,2.01,92.35,13.86
3,1.11,0.1,92.35,13.86
3,1.16,0,92.35,13.86
3,1.21,0.1,92.35,13.86
3,1.26,0.1,92.35,13.86
3,1.31,0.1,92.35,13.86
3,1.36,0.1,92.35,13.86
3,1.41,0,92.35,13.86
3,1.46,0.1,92.35,13.86
3,1.51,0.1,92.35,13.86
3,1.56,0.1,92.35,13.86
3,1.61,0.1,92.35,13.86
3,1.66,0,92.35,13.86
3,1.71,1.26,94,13.86
3,1.76,0.41,94,13.86
3,1.81,11.65,96.05,13.86
3,1.86,70.55,98.24,22.1
3,1.91,76.11,98.38,25.56
3,1.96,0.63,98.35,25.56
3,2.01,15.54,98.48,26.26
3,2.06,2.54,98.52,26.26
3,2.11,3.78,98.37,26.26
3,2.16,26.56,98.56,28.67
3,2.21,88.06,98.45,35.09
3,2.26,78.62,98.21,51.2
3,2.31,91.1,98.29,51.2
3,2.36,88.99,98.51,51.2
3,2.41,90.28,98.4,51.77
3,2.46,89.18,98.22,51.77
3,2.51,97.2,98.2,52.41
3,2.56,96.9,98.41,52.41
3,2.61,97.61,98.01,52.41
3,2.66,96.7,98.08,52.41
3,2.71,97,98.5,52.41
3,2.76,96.6,98.53,52.41
3,2.81,97,98.27,52.41
3,2.86,97,98.18,52.41
3,2.91,97.4,98.44,52.41
3,2.96,97,98.16,52.41
3,3.01,98.2,98.51,52.41
3,3.06,96.7,98.07,52.41
3,3.11,97.2,98.28,52.41
3,3.16,96.8,98.52,52.41
3,3.21,96.99,98.24,52.41
3,3.26,95.9,98.48,52.41
3,3.31,97.1,98.49,52.41
3,3.36,97.2,98.2,52.41
3,3.41,97.4,98.2,52.41
3,3.46,97.2,98.51,52.41
3,3.51,97.1,98.26,52.41
3,3.56,96.6,98.4,52.22
3,3.61,96.21,98.44,52.22
3,3.66,96.9,98.27,52.22
3,3.71,96.7,97.99,52.22
3,3.76,97.6,98.32,52.22
3,3.81,96,98.14,52.22
3,3.86,96.7,98.11,52.22
3,3.91,95.5,98.5,52.22
3,3.96,97.4,98.43,52.22
3,4.01,96.7,98.53,52.22
3,4.06,96.6,98.53,52.22
3,4.11,97.2,98.46,52.22
3,4.16,96.9,98.53,52.22
3,4.21,97.2,98.05,52.22
3,4.26,97.3,98.1,52.22
3,4.31,97.21,98.41,52.22
3,4.36,97.49,98.2,52.22
3,4.41,96.9,98.53,52.22
3,4.46,96.7,98.3,52.22
3,4.51,97.2,98.06,52.22
3,4.56,97,98.41,52.22
3,4.61,97.49,98.22,52.22
3,4.66,97.3,98.56,52.22
3,4.71,97.2,98.47,52.22
3,4.76,96.7,98.27,52.22
3,4.81,97.6,98.28,52.22
3,4.86,96.5,98.25,52.22
3,4.91,96.79,98.3,52.22
3,4.96,97.3,98.27,52.22
3,5.01,96.9,98.28,52.22
3,5.06,96.8,98.17,52.22
3,5.11,96.9,98.4,52.22
3,5.16,96.8,98.34,52.22
3,5.21,97.4,97.95,52.22
3,5.26,97.6,98.28,52.22
3,5.31,97.2,98.49,52.22
3,5.36,97.6,98.16,52.22
3,5.41,97,98.21,52.22
3,5.46,97.2,98.54,52.22
3,5.51,96,98.27,52.22
3,5.56,97.3,98.41,52.22
3,5.61,96.6,98.55,52.22
3,5.66,97.5,98.37,52.22
3,5.71,96.6,98.38,52.22
3,5.76,97.2,98.48,52.22
3,5.81,97,98.42,52.22
3,5.86,65.04,98.48,52.22
3,5.91,30.78,98.52,52.22
3,5.96,18.45,98.46,52.22
3,6.01,22.66,98.32,52.22
3,6.06,23.18,98.23,52.22
3,6.11,23.77,98.07,52.22
3,6.16,30.39,98.28,51.81
3,6.21,91.01,98.45,56.21
3,6.26,91.9,98.4,61.63
3,6.31,94.49,98.09,61.63
3,6.36,94.2,97.48,61.88
3,6.41,20.93,97.71,61.88
3,6.46,1.61,97.71,61.88
3,6.51,0.81,97.69,61.88
3,6.56,1.21,97.72,61.88
3,6.61,1.01,97.7,61.88
3,6.66,1.41,97.76,61.88
3,6.71,0.4,97.61,61.88
3,6.76,0.2,97.62,61.88
3,6.81,0.1,97.6,61.88
3,6.86,0.1,97.61,61.88
3,6.91,0.2,97.59,61.88
3,6.96,1.81,46.07,13.37
3,7.01,2.13,46.4,13.43
4,1.01,0.3,91.1,13.86
4,1.06,0.9,91.16,14.06
4,1.11,0.1,91.16,14.06
4,1.16,0.1,91.16,14.06
