timestamp,cpu_usr,memory_memused,memory_commit
1.01,0.3,91.1,13.86
1.06,0.9,91.16,14.06
1.11,0.1,91.16,14.06
1.16,0.1,91.16,14.06
1.21,0.1,91.16,14.06
1.26,0,91.16,14.06
1.31,0.1,91.16,14.06
1.36,0,91.16,14.06
1.41,0.1,91.16,14.06
1.46,0,91.16,14.06
1.51,0.1,91.16,14.06
1.56,0.1,91.16,14.06
1.61,0,91.16,14.06
1.66,0,91.16,14.06
1.71,0.1,91.16,14.06
1.76,0,91.16,14.06
1.81,1.52,91.46,14.06
1.86,2.8,91.99,14.06
1.91,2.39,92.54,14.06
1.96,31.31,95.53,21.97
2.01,56.97,97.13,23.96
2.06,0.2,97.13,23.96
2.11,0,97.13,23.96
2.16,45.69,98.43,25.59
2.21,5.61,98.44,25.59
2.26,5.17,98.54,25.59
2.31,5.86,98.54,25.59
2.36,1.55,98.45,25.59
2.41,72.69,98.34,32.43
2.46,85.37,98.32,51.32
2.51,92.9,98.56,51.32
2.56,96.1,98.26,51.32
2.61,96.5,98.47,51.32
2.66,97.4,98.28,51.32
2.71,95.3,98.33,51.32
2.76,97.4,98.42,51.32
2.81,96.89,98.3,51.32
2.86,97.5,98.55,51.32
2.91,96.5,98.31,51.32
2.96,97.6,98.37,51.32
3.01,97.1,98.45,51.32
3.06,97.3,98.28,51.32
3.11,96.3,98.28,51.32
3.16,97.5,98.44,51.32
3.21,97,98.36,51.32
3.26,97.9,98.42,51.32
3.31,96.6,98.42,51.32
3.36,97.4,98.45,51.32
3.41,97,98.24,51.32
3.46,97.1,98.49,51.32
3.51,97.7,98.35,51.32
3.56,96.6,98.37,51.32
3.61,97.9,98.4,51.66
3.66,97.1,98.37,51.66
3.71,97.4,98.25,51.45
3.76,97.2,98.2,51.45
3.81,97.5,98.46,51.45
3.86,97,98.24,51.45
3.91,97.2,98.31,51.45
3.96,97.2,98.42,51.45
4.01,97.11,98.3,51.45
4.06,97.4,98.53,51.45
4.11,97.3,98.43,51.45
4.16,97.3,98.54,51.45
4.21,97.09,98.3,51.45
4.26,97.2,98.54,51.45
4.31,97.1,98.49,51.45
4.36,97.4,98.46,51.45
4.41,97.7,98.23,51.45
4.46,97.2,98.37,51.45
4.51,97.4,98.29,51.45
4.56,98.2,98.17,51.45
4.61,97.1,98.52,51.45
4.66,97,98.37,51.45
4.71,97.1,98.23,51.45
4.76,97.2,98.33,51.45
4.81,97.5,98.44,51.45
4.86,96.8,98.29,51.45
4.91,97.3,98.3,51.45
4.96,97.7,98.44,51.45
5.01,96.6,98.08,51.45
5.06,97.6,98.57,51.45
5.11,97.3,98.33,51.45
5.16,97.8,98.31,51.45
5.21,97.1,98.1,51.45
5.26,97.8,98.56,51.45
5.31,96.8,98.53,51.45
5.36,97.2,98.32,51.45
5.41,96.6,98.29,51.45
5.46,97.3,98.44,51.25
5.51,97.2,98.44,51.25
5.56,97.49,98.37,51.25
5.61,96.9,98.29,51.25
5.66,97.5,98.44,51.25
5.71,92.3,98.36,51.25
5.76,96.7,98.1,51.25
5.81,85.21,98.32,51.25
5.86,13,98.56,51.25
5.91,27.9,98.26,51.25
5.96,23.77,98.18,51.25
6.01,15.62,98.15,51.25
6.06,13.29,98.14,51.25
6.11,11.88,98.13,51.25
6.16,8.84,98.22,51.59
6.21,35.89,98.14,52.2
6.26,95.6,97.71,53.26
6.31,24.44,95.87,55.44
6.36,2.22,96.08,55.44
6.41,0.7,96.06,55.44
6.46,0.61,96.07,55.44
6.51,0.81,96.06,55.44
6.56,0.5,96.05,55.44
6.61,0.4,96.06,55.44
6.66,1.31,96.05,55.44
6.71,0.1,96.06,55.44
6.76,0.1,96.05,55.44
6.81,0.4,95.92,55.44
6.86,0.4,95.91,55.44
6.91,0.3,95.91,55.44
6.96,1.71,53.46,13.4
7.01,3.13,53.75,13.56
