timestamp,cpu_usr,memory_memused,memory_commit
1.01,0.3,92.29,13.8
1.06,2.01,92.35,13.86
1.11,0.1,92.35,13.86
1.16,0,92.35,13.86
1.21,0.1,92.35,13.86
1.26,0.1,92.35,13.86
1.31,0.1,92.35,13.86
1.36,0.1,92.35,13.86
1.41,0,92.35,13.86
1.46,0.1,92.35,13.86
1.51,0.1,92.35,13.86
1.56,0.1,92.35,13.86
1.61,0.1,92.35,13.86
1.66,0,92.35,13.86
1.71,1.26,94,13.86
1.76,0.41,94,13.86
1.81,11.65,96.05,13.86
1.86,70.55,98.24,22.1
1.91,76.11,98.38,25.56
1.96,0.63,98.35,25.56
2.01,15.54,98.48,26.26
2.06,2.54,98.52,26.26
2.11,3.78,98.37,26.26
2.16,26.56,98.56,28.67
2.21,88.06,98.45,35.09
2.26,78.62,98.21,51.2
2.31,91.1,98.29,51.2
2.36,88.99,98.51,51.2
2.41,90.28,98.4,51.77
2.46,89.18,98.22,51.77
2.51,97.2,98.2,52.41
2.56,96.9,98.41,52.41
2.61,97.61,98.01,52.41
2.66,96.7,98.08,52.41
2.71,97,98.5,52.41
2.76,96.6,98.53,52.41
2.81,97,98.27,52.41
2.86,97,98.18,52.41
2.91,97.4,98.44,52.41
2.96,97,98.16,52.41
3.01,98.2,98.51,52.41
3.06,96.7,98.07,52.41
3.11,97.2,98.28,52.41
3.16,96.8,98.52,52.41
3.21,96.99,98.24,52.41
3.26,95.9,98.48,52.41
3.31,97.1,98.49,52.41
3.36,97.2,98.2,52.41
3.41,97.4,98.2,52.41
3.46,97.2,98.51,52.41
3.51,97.1,98.26,52.41
3.56,96.6,98.4,52.22
3.61,96.21,98.44,52.22
3.66,96.9,98.27,52.22
3.71,96.7,97.99,52.22
3.76,97.6,98.32,52.22
3.81,96,98.14,52.22
3.86,96.7,98.11,52.22
3.91,95.5,98.5,52.22
3.96,97.4,98.43,52.22
4.01,96.7,98.53,52.22
4.06,96.6,98.53,52.22
4.11,97.2,98.46,52.22
4.16,96.9,98.53,52.22
4.21,97.2,98.05,52.22
4.26,97.3,98.1,52.22
4.31,97.21,98.41,52.22
4.36,97.49,98.2,52.22
4.41,96.9,98.53,52.22
4.46,96.7,98.3,52.22
4.51,97.2,98.06,52.22
4.56,97,98.41,52.22
4.61,97.49,98.22,52.22
4.66,97.3,98.56,52.22
4.71,97.2,98.47,52.22
4.76,96.7,98.27,52.22
4.81,97.6,98.28,52.22
4.86,96.5,98.25,52.22
4.91,96.79,98.3,52.22
4.96,97.3,98.27,52.22
5.01,96.9,98.28,52.22
5.06,96.8,98.17,52.22
5.11,96.9,98.4,52.22
5.16,96.8,98.34,52.22
5.21,97.4,97.95,52.22
5.26,97.6,98.28,52.22
5.31,97.2,98.49,52.22
5.36,97.6,98.16,52.22
5.41,97,98.21,52.22
5.46,97.2,98.54,52.22
5.51,96,98.27,52.22
5.56,97.3,98.41,52.22
5.61,96.6,98.55,52.22
5.66,97.5,98.37,52.22
5.71,96.6,98.38,52.22
5.76,97.2,98.48,52.22
5.81,97,98.42,52.22
5.86,65.04,98.48,52.22
5.91,30.78,98.52,52.22
5.96,18.45,98.46,52.22
6.01,22.66,98.32,52.22
6.06,23.18,98.23,52.22
6.11,23.77,98.07,52.22
6.16,30.39,98.28,51.81
6.21,91.01,98.45,56.21
6.26,91.9,98.4,61.63
6.31,94.49,98.09,61.63
6.36,94.2,97.48,61.88
6.41,20.93,97.71,61.88
6.46,1.61,97.71,61.88
6.51,0.81,97.69,61.88
6.56,1.21,97.72,61.88
6.61,1.01,97.7,61.88
6.66,1.41,97.76,61.88
6.71,0.4,97.61,61.88
6.76,0.2,97.62,61.88
6.81,0.1,97.6,61.88
6.86,0.1,97.61,61.88
6.91,0.2,97.59,61.88
6.96,1.81,46.07,13.37
7.01,2.13,46.4,13.43
