timestamp,cpu_usr,memory_memused,memory_commit
1.01,0.3,91.01,12.42
1.06,1.71,91.07,12.62
1.11,0.1,91.07,12.62
1.16,0,91.07,12.62
1.21,0.1,91.07,12.62
1.26,0.1,91.07,12.62
1.31,0,91.07,12.62
1.36,0.1,91.07,12.62
1.41,0.1,91.07,12.62
1.46,0,91.07,12.62
1.51,0.1,91.07,12.62
1.56,0.1,91.07,12.62
1.61,0,91.07,12.62
1.66,0.1,91.07,12.62
1.71,0.1,91.07,12.62
1.76,0.1,91.07,12.62
1.81,3.58,91.55,12.62
1.86,1.64,91.92,12.62
1.91,1.64,92.32,12.62
1.96,5.85,93.56,12.62
2.01,85.14,96.81,20.75
2.06,0.2,96.71,20.75
2.11,0.1,96.71,20.75
2.16,44.87,98.33,25.07
2.21,5.96,98.39,25.07
2.26,3.85,98.42,25.07
2.31,4,98.31,25.07
2.36,6.77,98.33,25.07
2.41,78.41,98.29,32.01
2.46,87,98.02,46.84
2.51,93.99,98.45,49.93
2.56,96,98.49,49.93
2.61,96.7,98.3,49.93
2.66,97.3,98.39,49.93
2.71,97,98.41,49.93
2.76,94.3,98.51,49.93
2.81,96.8,98.32,49.93
2.86,96.6,98.35,49.93
2.91,97.11,98.51,49.93
2.96,97.4,98.34,49.93
3.01,97.49,98.47,49.93
3.06,97.6,98.39,49.93
3.11,96.7,98.34,49.93
3.16,98,98.46,49.93
3.21,97.2,98.46,50.24
3.26,97.1,98.35,50.24
3.31,97.2,98.43,50.24
3.36,97.19,98.53,50.24
3.41,97.8,98.56,50.24
3.46,96.4,98.38,50.24
3.51,98,98.38,50.24
3.56,97.4,98.33,50.24
3.61,97.3,98.18,50.24
3.66,97.1,98.23,50.24
3.71,97.9,98.3,50.24
3.76,97.2,98.15,50.24
3.81,97.5,98.32,50.24
3.86,97,98.36,50.24
3.91,97.9,98.51,50.24
3.96,96.99,98.31,50.24
4.01,97.8,98.31,50.24
4.06,96.89,98.44,50.24
4.11,97.4,98.31,50.24
4.16,96.4,98.32,50.24
4.21,96.19,98.1,50.24
4.26,98.1,98.27,50.24
4.31,97.1,98.37,50.24
4.36,97.7,98.32,50.24
4.41,97.2,98.46,50.24
4.46,97.1,98.21,50.24
4.51,96.7,98.21,50.24
4.56,96.8,98.55,50.24
4.61,97.3,98.28,50.24
4.66,98,98.51,50.24
4.71,97,98.34,50.24
4.76,97,98.28,50.24
4.81,97.6,98.53,50.24
4.86,97.1,98.47,50.24
4.91,97.29,98.22,50.24
4.96,97.7,98.28,50.24
5.01,97,98.54,50.24
5.06,96.9,98.28,50.24
5.11,97.4,98.42,50.03
5.16,96.6,98.37,50.35
5.21,97.6,98.43,50.35
5.26,97.4,98.32,50.35
5.31,96.9,98.37,50.35
5.36,98,98.27,50.14
5.41,96.9,98.38,50.14
5.46,97.7,98.2,50.14
5.51,97.1,98.41,50.14
5.56,97.7,98.46,50.14
5.61,96.71,98.52,50.14
5.66,97.1,98.32,50.14
5.71,96.5,98.43,50.14
5.76,97.2,98.37,50.14
5.81,96.6,98.35,50.14
5.86,56.83,98.39,50.14
5.91,56.45,98.32,50.14
5.96,48.19,98.19,49.94
6.01,9.79,98.15,49.73
6.06,12.3,98.1,49.73
6.11,11.6,98.03,49.73
6.16,10.07,98.11,49.73
6.21,32.22,98.45,50.25
6.26,92.19,98.26,60.31
6.31,25,98.18,60.31
6.36,2.63,98.32,60.31
6.41,0.5,98.34,60.31
6.46,0.6,98.32,60.31
6.51,0.6,98.32,60.31
6.56,0.6,98.35,60.31
6.61,0.61,98.34,60.31
6.66,1.31,98.35,60.31
6.71,0,98.33,60.31
6.76,0.3,98.33,60.31
6.81,0.3,98.33,60.31
6.86,0.4,98.21,60.31
6.91,1.41,98.17,60.31
6.96,1.92,51.38,11.93
7.01,4.15,51.79,12
